受文者,郵遞區號,地址,,
新北市政府,22001,新北市板橋區中山路1段161號,,
臺北市政府,11008,臺北市信義區市府路1號,,
桃園市政府,33001,桃園市桃園區縣府路1號,,
新竹縣政府,30210,新竹縣竹北市光明六路10號,,
新竹市政府,30051,新竹市中正路120號,,
苗栗縣政府,36001,苗栗縣苗栗市縣府路100號,,
臺中市政府,40701,臺中市西屯區臺灣大道3段99號,,
彰化縣政府,50001,彰化縣彰化市中山路2段416號,,
南投縣政府,54001,南投縣南投市中興路660號,,
雲林縣政府,64001,雲林縣斗六市雲林路2段515號,,
嘉義市政府,60006,嘉義市東區中山路199號,,
嘉義縣政府,61249,嘉義縣太保市祥和一路東段1號,,
臺南市政府,70801,臺南市安平區永華路2段6號,,
高雄市政府,80203,高雄市苓雅區四維三路2號,,
屏東縣政府,90001,屏東縣屏東市自由路527號,,
宜蘭縣政府,26050,宜蘭縣宜蘭市凱旋里3鄰縣政北路1號,,
花蓮縣政府,97001,花蓮縣花蓮市府前路17號,,
臺東縣政府,95001,臺東縣臺東市中山路276號,,
基隆市政府,20201,基隆市義一路1號,,
金門縣政府,89345,金門縣金城鎮民生路60號,,
連江縣政府,20941,連江縣南竿鄉介壽村76號,,
澎湖縣政府,88043,澎湖縣馬公市治平路32號,,
經濟部中部辦公室,54003,南投縣南投市省府路４號,,
經濟部工業局,10651,台北市大安區信義路三段41-3號,,
內政部,10055,臺北市中正區徐州路5號,,
行政院農業委員會,10014,臺北市中正區南海路37號,,
王美惠,10051,台北市中正區濟南路1段3之1號1105室,,
吳琪銘,10051,台北市中正區濟南路1段3之1號0606室,,
沈發惠,10051,台北市中正區濟南路1段3之1號0305室,,
林文瑞,10051,台北市中正區濟南路1段3之1號0208室,,
林思銘,10051,台北市中正區濟南路1段3之1號0503室,,
張宏陸,10051,台北市中正區青島東路1號3305室,,
張其祿,10051,台北市中正區濟南路1段3之1號0605室,,
陳玉珍,10053,台北市中正區青島東路10號3501室,,
湯蕙禎,10051,台北市中正區青島東路1號3301室,,
黃世杰,10051,台北市中正區濟南路1段3之1號2119室,,
葉毓蘭,10053,台北市中正區青島東路10號3505室,,
管碧玲,10051,台北市中正區濟南路1段3之1號0901室,,
鄭天財,10051,台北市中正區濟南路1段3之1號0307室,,
賴惠員,10051,台北市中正區濟南路1段3之1號0905室,,
羅美玲,10051,台北市中正區濟南路1段3之1號1008室,,
吳玉琴,10051,台北市中正區濟南路1段3之1號0402室,,
吳怡玎,10051,台北市中正區青島東路1號3406室,,
李貴敏,10051,台北市中正區濟南路1段3之1號0705室,,
周春米,10051,台北市中正區濟南路1段3之1號0603室,,
林為洲,10051,台北市中正區濟南路1段3之1號0907室,,
柯建銘,10051,台北市中正區濟南路1段3之1號2118室,,
劉世芳,10051,台北市中正區濟南路1段3之1號0308室,,
蔡其昌,10051,台北市中正區濟南路1段3之1號12樓,,
蔡易餘,10051,台北市中正區濟南路1段3之1號0707室,,
鄭運鵬,10051,台北市中正區濟南路1段3之1號0608室,,
鄭麗文,10051,台北市中正區青島東路1號3203室,,
賴香伶,10051,台北市中正區濟南路1段3之1號0507室,,
鍾佳濱,10051,台北市中正區濟南路1段3之1號0401室,,
王定宇,10051,台北市中正區青島東路1號3205室,,
江啟臣,10051,台北市中正區濟南路1段3之1號2102室,,
何志偉,10051,台北市中正區濟南路1段3之1號0501室,,
呂玉玲,10051,台北市中正區濟南路1段3之1號0903室,,
林昶佐,10051,台北市中正區濟南路1段3之1號0803室,,
馬文君,10051,台北市中正區青島東路1號3113室,,
陳以信,10051,台北市中正區青島東路1號3111室,,
陳柏惟,10051,台北市中正區濟南路1段3之1號0708室,,
游錫堃,10051,台北市中正區中山南路1號,,
溫玉霞,10051,台北市中正區濟南路1段3之1號1108室,,
趙天麟,10051,台北市中正區濟南路1段3之1號1103室,,
蔡適應,10051,台北市中正區濟南路1段3之1號0505室,,
羅致政,10051,台北市中正區濟南路1段3之1號0506室,,
何欣純,10051,台北市中正區濟南路1段3之1號0301室,,
李昆澤,10051,台北市中正區濟南路1段3之1號0306室,,
林俊憲,10051,台北市中正區濟南路1段3之1號1006室,,
邱顯智,10051,台北市中正區濟南路1段3之1號0808室,,
洪孟楷,10051,台北市中正區濟南路1段3之1號2111室,,
許淑華,10051,台北市中正區濟南路1段3之1號0206室,,
許智傑,10051,台北市中正區濟南路1段3之1號0703室,,
陳素月,10051,台北市中正區濟南路1段3之1號2109室,,
陳雪生,10051,台北市中正區濟南路1段3之1號2107室,,
陳歐珀,10051,台北市中正區濟南路1段3之1號408室,,
傅崐萁,10051,台北市中正區濟南路1段3之1號0202室,,
趙正宇,10051,台北市中正區濟南路1段3之1號1002室,,
劉櫂豪,10051,台北市中正區濟南路1段3之1號0303室,,
魯明哲,10051,台北市中正區濟南路1段3之1號1005室,,
王婉諭,10051,台北市中正區青島東路1號3306室,,
吳斯懷,10051,台北市中正區濟南路1段3之1號2112室,,
林淑芬,10051,台北市中正區青島東路1號3202室,,
邱泰源,10051,台北市中正區濟南路1段3之1號2106室,,
洪申翰,10051,台北市中正區青島東路1號3206室,,
徐志榮,10051,台北市中正區濟南路1段3之1號0802室,,
張育美,10051,台北市中正區青島東路1號3401室,,
莊競程,10053,台北市中正區青島東路10號3503室,,
陳瑩,10051,台北市中正區青島東路1號3403室,,
黃秀芳,10051,台北市中正區濟南路1段3之1號0407室,,
楊曜,10051,台北市中正區濟南路1段3之1號0205室,,
廖婉汝,10051,台北市中正區青島東路1號3309室,,
劉建國,10051,台北市中正區濟南路1段3之1號0602室,,
蔣萬安,10051,台北市中正區濟南路1段3之1號1107室,,
蘇巧慧,10051,台北市中正區濟南路1段3之1號1007室,,
江永昌,10051,台北市中正區濟南路1段3之1號2123室,,
余天,10051,台北市中正區青島東路1號3103室,,
吳秉叡,10051,台北市中正區濟南路1段3之1號0902室,,
林楚茵,10051,台北市中正區濟南路1段3之1號0805室,,
林德福,10051,台北市中正區青島東路1號3201室,,
高嘉瑜,10053,台北市中正區青島東路10號3506室,,
莊瑞雄,10051,台北市中正區濟南路1段3之1號0702室,,
郭國文,10051,台北市中正區青島東路1號3303室,,
陳椒華,10051,台北市中正區濟南路1段3之1號0405室,,
曾銘宗,10051,台北市中正區青島東路1號4樓3405室,,
費鴻泰,10051,台北市中正區濟南路1段3之1號0502室,,
蔡壁如,10051,台北市中正區濟南路1段3之1號0908室,,
賴士葆,10051,台北市中正區青島東路1號3110室,,
羅明才,10051,台北市中正區濟南路1段3之1號1106室,,
伍麗華,10051,台北市中正區濟南路1段3之1號2101室,,
吳思瑤,10051,台北市中正區青島東路1號3108室,,
李德維,10051,台北市中正區濟南路1段3之1號0906室,,
林宜瑾,10051,台北市中正區濟南路1段3之1號0806室,,
林奕華,10053,台北市中正區青島東路10號3502室,,
范雲,10051,台北市中正區濟南路1段3之1號0207室,,
高金素梅,10053,台北市中正區青島東路10號3507室,,
高虹安,10051,台北市中正區濟南路1段3之1號1001室,,
張廖萬堅,10051,台北市中正區青島東路1號3402室,,
陳秀寶,10051,台北市中正區濟南路1段3之1號0601室,,
黃國書,10051,台北市中正區濟南路1段3之1號0302室,,
萬美玲,10051,台北市中正區濟南路1段3之1號0406室,,
鄭正鈐,10051,台北市中正區青島東路1號3106室,,
賴品妤,10051,台北市中正區濟南路1段3之1號2103室,,
孔文吉,10051,台北市中正區濟南路1段3之1號0203室,,
林岱樺,10051,台北市中正區濟南路1段3之1號0706室,,
邱臣遠,10051,台北市中正區濟南路1段3之1號2117室,,
邱志偉,10051,台北市中正區濟南路1段3之1號0607室,,
邱議瑩,10051,台北市中正區濟南路1段3之1號0801室,,
翁重鈞,10051,台北市中正區濟南路1段3之1號2115室,,
陳明文,10051,台北市中正區青島東路1號3101室,,
陳亭妃,10051,台北市中正區濟南路1段3之1號1101室,,
陳超明,10051,台北市中正區濟南路1段3之1號1003室,,
楊瓊瓔,10051,台北市中正區濟南路1段3之1號2108室,,
廖國棟,10051,台北市中正區濟南路1段3之1號0807室,,
賴瑞隆,10051,台北市中正區濟南路1段3之1號1102室,,
謝衣鳳,10051,台北市中正區濟南路1段3之1號0201室,,
蘇治芬,10051,台北市中正區濟南路1段3之1號0403室,,
蘇震清,10051,台北市中正區濟南路1段3之1號0701室,,